,AvgPriceperBottle,MarginPerBottle,PricePerLiter,R^2Score,TotalBottlesSold,TotalSales,Zip Code
298,13.3373441734,4.44756097561,22.136406716,0.350816851556,5853,47647.73,52084
299,15.3475888325,5.12418781726,13.5791747604,0.828816593001,3904,52079.53,52087
300,15.1508995633,5.06092576419,13.2690688486,0.699355078427,10385,135214.2,52101
301,15.0010035842,5.01657706093,11.5196584036,0.941510071784,5782,83228.38,52136
302,14.0865217391,4.70927536232,13.668198618,0.725354168729,1059,12758.58,52142
303,15.465125,5.159875,12.7836617367,0.857497715978,856,13475.13,52144
304,15.2460416667,5.10041666667,12.9049071076,0.432011658718,410,4105.18,52146
305,12.5330666667,4.1926,10.8410538326,0.741801043578,956,10451.86,52151
306,17.2595121951,5.77853658537,16.7877110531,0.961955667495,566,9644.54,52154
307,16.7934411085,5.6133256351,13.8459299773,0.776807853988,1449,22075.12,52159
308,14.1919565217,4.73195652174,11.8275126633,0.536792720499,387,4436.5,52162
309,22.3757894737,7.4598245614,16.4117261655,0.830484810753,477,9769.08,52166
310,15.4614375,5.1633375,12.8819736166,0.766100406591,5697,80006.46,52172
311,14.5489020772,4.86130563798,11.3007801327,0.95006714884,2192,28841.06,52175
312,14.4507718696,4.82957118353,12.1540675255,0.901875977201,4767,65715.22,52205
313,12.38,4.15307692308,11.4237455466,0.489333424926,290,2661.39,52207
314,14.9135507246,4.9779468599,11.9601553809,0.626419835221,2695,33868.17,52208
315,15.3254123711,5.11886597938,12.8749120131,0.679573414665,967,13169.49,52211
316,12.4560571429,4.16537142857,10.8559396817,0.835051652493,827,9718.78,52213
317,11.4211363636,3.82242424242,11.0186308142,0.471256756944,1116,9539.6,52214
318,9.68545454545,3.24454545455,15.2558139535,0.920275618618,59,524.8,52223
319,12.2583783784,4.10162162162,13.2212145749,0.904581707543,426,4898.46,52224
320,12.3346511628,4.1423255814,13.5566551922,0.664580371042,440,4725.85,52227
321,9.7475,3.25055555556,12.8813204509,0.854659095792,439,3999.65,52228
322,10.9741221374,3.66348600509,13.571193117,0.516437152419,4469,35900.42,52233
323,15.1060182768,5.04502937337,15.6653497299,0.639416821297,81693,1080449.51,52240
324,16.4300870575,5.48651189785,17.2222820578,0.762701397361,37787,616268.88,52241
325,15.5221692491,5.18266984505,16.1043898061,0.880673747617,3999,58143.45,52245
326,14.0826055613,4.70983522142,13.8506846048,0.85352566737,8231,112073.23,52246
327,11.4745454545,3.83227272727,11.1834674788,0.621003814288,285,2570.52,52248
328,13.5761151079,4.55014388489,12.0895943748,0.796282413592,931,11519.57,52253
329,12.8581818182,4.28757575758,14.040128623,0.655631304233,284,3187.39,52254
330,13.8390140845,4.63300469484,12.2100599512,0.848745365461,2712,40774.03,52301
331,14.072749004,4.70075254537,13.3288631906,0.876597272833,20959,272035.3,52302
